순번(No),광고회사,주소,전화번호,정리된_광고회사명,광고회사_키워드,카테고리별 키워드 재구성,키워드 번호
1147,플러스엑스(주),서울특별시 강남구 언주로149길 17 3층 (논현동),02-518-7717,플러스엑스,컴퓨터 프로그래밍 서비스업,IT/디지털/소프트웨어,5
1153,(주)크림앤컴,"서울특별시 강남구 삼성로 417 103동 2101호 (대치동, 대치포스코더샵아파트)",02-539-8889,크림앤컴,"전문, 과학 및 기술 서비스업",IT/디지털/소프트웨어,5
1159,(주)피앤에프위너스,"서울특별시 강남구 학동로 520 4, 5층 (삼성동)",02-337-1638,피앤에프위너스,매니저업,마케팅/브랜드/리서치,4
1165,주식회사 제이키,"서울특별시 강남구 논현로102길 15 (역삼동) 1층,103호",02-6082-6201,식회사 제이키,"광고물 문안, 도안, 설계 등 작성업",미디어/콘텐츠 제작,2
1166,(주)머스트커뮤니케이션,서울특별시 강남구 언주로86길 5 육성빌딩 (역삼동),070-4607-4258,머스트커뮤니케이션,"마케팅, 리서치,광고기획, 제작",마케팅/브랜드/리서치,4
1177,주식회사 큐아이그룹,"서울특별시 강남구 강남대로156길 14 (신사동,정금빌딩) 2층 271호",,식회사 큐아이그룹,경영 컨설팅업,광고 대행/서비스 제공업체,1
1193,카라멜츠(주),서울특별시 강남구 학동로6길 15 302호(논현동),02-6925-7377,카라멜츠,음원제작서비스,미디어/콘텐츠 제작,2
1194,(주)코모래비,서울특별시 강남구 봉은사로 407 15층(삼성동),02-515-2111,코모래비,"종합 마케팅, 컨설팅 서비스",마케팅/브랜드/리서치,4
1200,(주)더쏠트,서울특별시 강남구 삼성로95길 6 5층 (삼성동),02-515-0322,더쏠트,온라인홍보및방송콘텐츠서비스(정보통신업),광고 대행/서비스 제공업체,1
1202,(주)제이지스타,서울특별시 강남구 선릉로138길 42 (청담동),02-547-0825,제이지스타,홍보마케팅,마케팅/브랜드/리서치,4
1209,(주)에이원퍼포먼스팩토리,서울특별시 강남구 테헤란로 501 (삼성동),02-6959-7799,에이원퍼포먼스팩토리,미디어/디자인,디자인 및 시각/산업 디자인,3
1210,(주)에스에스와이미디어,서울특별시 강남구 학동로3길 25 4층 404호 써니힐빌딩(논현동),02-1566-5130,에스에스와이미디어,"광고물 문안, 도안, 설계 광고물 문안, 도안, 설계 ",디자인 및 시각/산업 디자인,3
1211,(주)스타컴기획,서울특별시 강남구 언주로 844 지하 1층(신사동),02-3446-9795,스타컴기획,옥외 및 전시 광고업,이벤트/전시/행사 대행,6
1213,(주)로드맵마케팅컨설팅,서울특별시 강남구 테헤란로 521 29층 39-06호(삼성동 파르나스타워),,로드맵마케팅컨설팅,경영 컨설팅업,마케팅/브랜드/리서치,4
1216,(주)어헤드코리아,서울특별시 강남구 도산대로12길 25-1 4층(논현동),02-548-0907,어헤드코리아,정보통신업,산업군별 마케팅 영역,9
1218,(주)더트러스티스,서울특별시 강남구 압구정로4길 7 (신사동),070-8775-2223,더트러스티스,화장품 및 화장용품 도매업,산업군별 마케팅 영역,7-6
1222,(주)애니퍼포먼스,"서울특별시 강남구 학동로33길 17 ,4층(논현동, 수산빌딩)",02-573-3511,애니퍼포먼스,"광고물 문안, 도안, 설계 등 작성업",디자인 및 시각/산업 디자인,3
1226,(주)스프링앤플라워,서울특별시 강남구 역삼로25길 37 2층(역삼동 근도빌딩),02-538-0292,스프링앤플라워,광고 영화 및 비디오물 제작업,미디어/콘텐츠 제작,2
1230,(주)최선씨앤씨,"서울특별시 강남구 강남대로 382  (역삼동, 메리츠타워) 17층, 1741호",02-6959-8366,최선씨앤씨,미디어/디자인,디자인 및 시각/산업 디자인,3
1236,(주)재와기획,서울특별시 강남구 영동대로 738 1006호 (청담동),02-516-1203,재와기획,"전문, 과학 및 기술 서비스업",IT/디지털/소프트웨어,5
1242,(주)애드프로패셔널,서울특별시 강남구 논현로 708 3층 (논현동 금강빌딩),02-512-0719,애드프로패셔널,"온라인광고, 프로모션대행",광고 대행/서비스 제공업체,1
1253,(주)스파이럴미디어,서울특별시 강남구 논현로 518  (역삼동) 2층 202호,02-6207-8320,스파이럴미디어,소프트웨어개발,IT/디지털/소프트웨어,5
1255,(주)리씨디엑스,서울특별시 강남구 도산대로37길 19 지하 2층(신사동 티엔티빌딩),02-556-4995,리씨디엑스,"패션, 섬유류 및 기타 전문 디자인업",산업군별 마케팅 영역,7-6
1260,(주)크로스미디어,"서울특별시 강남구 논현로86길 27 , 3,4,5층(역삼동)",070-8666-1503,크로스미디어,"출판, 영상, 방송통신 및 정보서비스업",미디어/콘텐츠 제작,2
1263,(주)더북디지털,"서울특별시 강남구 봉은사로 226 (역삼동, 더북컴퍼니)",02-3458-7430,더북디지털,종이인쇄물제작서비스,디자인 및 시각/산업 디자인,3
1264,주식회사 엘리케이트,"서울특별시 강남구 테헤란로 507 ,10층 130호(삼성동)",,엘리케이트,동영상제작서비스,미디어/콘텐츠 제작,2
1265,주식회사 이노빈,"서울특별시 강남구 봉은사로30길 62 (역삼동, 영우빌딩5층)",070-7731-0485,이노빈,데이터베이스 및 온라인 정보 제공업,산업군별 마케팅 영역,9
1266,주식회사 하이퍼포먼스마케팅,"서울특별시 강남구 역삼로 555 1층 101호(대치동, 대치동 더블유 타워)",02-558-4212,하이퍼포먼스마케팅,광고매체 판매,광고 대행/서비스 제공업체,1
1267,주식회사 니즈랩글로벌앤컬쳐,서울특별시 강남구 언주로149길 11 3층 301호(논현동),02-333-6579,니즈랩글로벌앤컬쳐,정보통신업,산업군별 마케팅 영역,9
1294,(주)휘닉스커뮤니케이션즈,"서울특별시 강남구 테헤란로 534 , 30층(대치동)",02-560-0851,휘닉스커뮤니케이션즈,미디어/디자인,디자인 및 시각/산업 디자인,3
1298,주식회사 미미컴,"서울특별시 강남구 테헤란로 322 ,19층 동관 1901호(역삼동)",02-2183-1753,미미컴,"전문, 과학 및 기술 서비스업",IT/디지털/소프트웨어,5
1303,주식회사 투커넥트투커뮤니케이션즈,"서울특별시 강남구 가로수길 19 ,4층 (신사동)",02-706-6868,투커넥트투커뮤니케이션즈,컴퓨터/사무용품/ 의류/패션/잡화/뷰티,IT/디지털/소프트웨어,5
1310,주식회사 미디언스,"서울특별시 강남구 삼성로95길 6 , 5층 (삼성동)",02-6949-5939,미디언스,응용 소프트웨어 개발 및 공급업,IT/디지털/소프트웨어,5
1311,주식회사 먼프,"서울특별시 강남구 도산대로8길 23  , 4층(논현동)",070-8095-1248,먼프,미디어/디자인,디자인 및 시각/산업 디자인,3
1312,(주)스웨이브에스엘,"서울특별시 강남구 학동로 342 815호  (논현동, 에스케이 허브블루)",02-537-0872,스웨이브에스엘,광고·홍보·전시,디자인 및 시각/산업 디자인,3
1316,(주)나스미디어,"서울특별시 강남구 도곡로1길 14  (역삼동, 삼일프라자오피스텔 3,4,5층)",02-2188-7345,나스미디어,미디어/디자인,디자인 및 시각/산업 디자인,3
1317,(주)리드앰,서울특별시 강남구 영동대로 302 6층 케이78 (삼성동 미켈란107),,리드앰,정보통신업,IT/디지털/소프트웨어,5
1321,주식회사 더에스엠씨그룹,"서울특별시 강남구 봉은사로49길 22 , 더에스엠씨빌딩 2층(논현동)",070-5138-7568,더에스엠씨그룹,온라인광고대행,광고 대행/서비스 제공업체,1
1322,에이플래닛 엔터테인먼트 주식회사,서울특별시 강남구 봉은사로57길 6  (삼성동) 5층 501호,02-6080-5596,에이플래닛 엔터테인먼트식회사,공연 기획업,마케팅/브랜드/리서치,4
1326,주식회사 픽스유,"서울특별시 강남구 논현로 404, 4층 3-1호 (역삼동,정안빌딩)",02-553-2107,식회사 픽스,"광고물 문안, 도안, 설계 등 작성업",디자인 및 시각/산업 디자인,3
1334,주식회사 아이알컴즈,"서울특별시 강남구 논현로149길 47  (논현동) 3층(논현동,승영빌딩)",02-546-9963,식회사 아이알컴즈,종합몰/ 자동차/자동차용품,산업군별 마케팅 영역,7-3
1336,주식회사 디비커뮤니케이션즈,서울특별시 강남구 테헤란로 432  (대치동) DB금융센터 24층,02-3484-1506,식회사 디비커뮤니케이션즈,방송·광고·영상·오디오,미디어/콘텐츠 제작,2
1342,주식회사 바즈인터내셔널,"서울특별시 강남구 학동로 343  (논현동) 8층(논현동, 포바강남타워)",02-6223-1195,식회사 바즈인터내셔널,경영 컨설팅업,마케팅/브랜드/리서치,4
1343,주식회사 엔와이앤코,서울특별시 강남구 강남대로 382 18층 1836호 (역삼동),02-722-4499,식회사 엔와이앤코,음반 및 비디오물 소매업,미디어/콘텐츠 제작,2
1352,주식회사 피어스크리에이티브컴퍼니,서울특별시 강남구 도산대로26길 18 5층 (논현동),02-6959-5535,식회사 피어스크리에이티브컴퍼니,동영상제작서비스,미디어/콘텐츠 제작,2
1353,주식회사 이노바인코리아,서울특별시 강남구 논현로149길 67-7 명은빌딩 (논현동),,식회사 이노바인코리아,화장품 제조업,산업군별 마케팅 영역,7-6
1354,주식회사 스튜디오좋,서울특별시 강남구 도산대로 150 7층 (논현동),,식회사 스튜디오좋,디지털콘텐츠개발서비스,광고 대행/서비스 제공업체,1
1356,(주)애드코러스,서울특별시 강남구 언주로 601 삼정빌딩 13층 (논현동),02-512-3227,애드코러스,간판 및 광고물 제조업,디자인 및 시각/산업 디자인,3
1357,(주)래몽래인,서울특별시 강남구 학동로25길 19 밸런스빌딩 (논현동),,래몽래인,정보통신업,기타 사업지원/유통/전자상거래,9
1362,주식회사 모비데이즈,"서울특별시 강남구 언주로 417 지하1층-8층 (역삼동, 더체크타워)",,식회사 모비데이즈,미디어/디자인,미디어/콘텐츠 제작,2
1372,(주)더베이컨,서울특별시 강남구 논현로149길 13-5 2층 (논현동),02-6203-7435,더베이컨,동영상제작서비스,미디어/콘텐츠 제작,2
1374,주식회사 캐스팅에너지,서울특별시 강남구 도산대로26길 29 4층 (논현동),02-6053-5773,식회사 캐스팅에너지,매니저업,마케팅/브랜드/리서치,4
1377,주식회사 씨제이더블유글로벌,"서울특별시 강남구 선릉로134길 7 , 1층,지하1층 (청담동)",,식회사 씨제이더블글로벌,미디어/디자인,디자인 및 시각/산업 디자인,3
1381,(주)디플랜360,서울특별시 강남구 테헤란로 443 11층 (삼성동),02-2039-1884,디플랜360,온라인홍보및방송콘텐츠서비스(정보통신업),광고 대행/서비스 제공업체,1
1383,주식회사 노무브노워크,서울특별시 강남구 선릉로121길 15 501호 (논현동),,식회사 노무브노워크,"전문, 과학 및 기술 서비스업",IT/디지털/소프트웨어,5
1387,주식회사 시몬스디자인스튜디오,"서울특별시 강남구 학동로11길 56 , 5층 (논현동)",,식회사 시몬스디자인스튜디오,광고/홍보/전시,광고 대행/서비스 제공업체,1
1388,주식회사 참컴,"서울특별시 강남구 삼성로122길 37 , 2층(삼성동)",02-2261-0656,식회사 참컴,광고·홍보·전시,광고 대행/서비스 제공업체,1
1391,주식회사 미디어블커뮤니케이션,"서울특별시 강남구 영동대로 602 , 6층 피223호 (삼성동, 삼성동 미켈란 107)",,식회사 미디어블커뮤니케이션,도매 및 소매업,기타 사업지원/유통/전자상거래,9
1392,주식회사 샐러드랩,"서울특별시 강남구 테헤란로78길 14-11 ,8층 (대치동, 돌채타워)",,식회사 샐러드랩,데이터베이스 및 온라인정보 제공업,기타 사업지원/유통/전자상거래,9
