순번(No),광고회사,주소,전화번호,정리된_광고회사명,광고회사_키워드,카테고리별 키워드 재구성,키워드 번호,위도,경도
1266,주식회사 하이퍼포먼스마케팅,서울특별시 강남구 역삼로 555,02-558-4212,하이퍼포먼스마케팅,광고매체 판매,sns,1,37.505009,127.0634028
1267,주식회사 니즈랩글로벌앤컬쳐,서울특별시 강남구 언주로149길 11 ,02-333-6579,니즈랩글로벌앤컬쳐,정보통신업,산업군별 마케팅 영역,9,37.5204159,127.0331166
1294,(주)휘닉스커뮤니케이션즈,서울특별시 강남구 테헤란로 534,02-560-0851,휘닉스커뮤니케이션즈,미디어/디자인,디자인,3,37.5080245,127.0628108
1298,주식회사 미미컴,서울특별시 강남구 테헤란로 322,02-2183-1753,미미컴,"전문, 과학 및 기술 서비스업",IT,5,37.50298,127.0465619
1303,주식회사 투커넥트투커뮤니케이션즈,서울특별시 강남구 가로수길 19 ,02-706-6868,투커넥트투커뮤니케이션즈,컴퓨터/사무용품/ 의류/패션/잡화/뷰티,IT,5,37.5192331,127.0230573
1310,주식회사 미디언스,서울특별시 강남구 삼성로95길 6,02-6949-5939,미디언스,응용 소프트웨어 개발 및 공급업,IT,5,37.5076866,127.0540251
1311,주식회사 먼프,서울특별시 강남구 도산대로8길 23,070-8095-1248,먼프,미디어/디자인,디자인,3,37.5161116,127.022236
1312,(주)스웨이브에스엘,서울특별시 강남구 학동로 342,02-537-0872,스웨이브에스엘,광고·홍보·전시,디자인,3,37.5167674,127.0408857
1316,(주)나스미디어,서울특별시 강남구 도곡로1길 14,02-2188-7345,나스미디어,미디어/디자인,디자인,3,37.490911,127.0325147
1317,(주)리드앰,서울특별시 강남구 영동대로 302,,리드앰,정보통신업,IT,5,37.5018574,127.0671243
1321,주식회사 더에스엠씨그룹,서울특별시 강남구 봉은사로49길 22 ,070-5138-7568,더에스엠씨그룹,온라인광고대행,sns,1,37.5112843,127.0418039
1322,에이플래닛 엔터테인먼트 주식회사,서울특별시 강남구 봉은사로57길 6  ,02-6080-5596,에이플래닛 엔터테인먼트식회사,공연 기획업,마케팅 브랜딩 조사,4,37.5113046,127.0454685
1326,주식회사 픽스유,서울특별시 강남구 논현로 404,02-553-2107,식회사 픽스,"광고물 문안, 도안, 설계 등 작성업",디자인,3,37.496227,127.0394264
1334,주식회사 아이알컴즈,서울특별시 강남구 논현로149길 47 ,02-546-9963,식회사 아이알컴즈,종합몰/ 자동차/자동차용품,자동차,2025-자동차,37.5175856,127.0252887
1336,주식회사 디비커뮤니케이션즈,서울특별시 강남구 테헤란로 432,02-3484-1506,식회사 디비커뮤니케이션즈,방송·광고·영상·오디오,"미디어,콘텐츠 제작",2,37.5057662,127.0547475
1342,주식회사 바즈인터내셔널,서울특별시 강남구 학동로 343 ,02-6223-1195,식회사 바즈인터내셔널,경영 컨설팅업,마케팅 브랜딩 조사,4,37.5174656,127.0407091
1343,주식회사 엔와이앤코,서울특별시 강남구 강남대로 382 ,02-722-4499,식회사 엔와이앤코,음반 및 비디오물 소매업,"미디어,콘텐츠 제작",2,37.4974574,127.0288232
1352,주식회사 피어스크리에이티브컴퍼니,서울특별시 강남구 도산대로26길 18 ,02-6959-5535,식회사 피어스크리에이티브컴퍼니,동영상제작서비스,"미디어,콘텐츠 제작",2,37.5170359,127.0283895
1353,주식회사 이노바인코리아,서울특별시 강남구 논현로149길 67-7,,식회사 이노바인코리아,화장품 제조업,화장품,2025-화장품,37.5175856,127.0252887
1354,주식회사 스튜디오좋,서울특별시 강남구 도산대로 150 ,,식회사 스튜디오좋,디지털콘텐츠개발서비스,sns,1,37.5179757,127.0250752
1356,(주)애드코러스,서울특별시 강남구 언주로 601 ,02-512-3227,애드코러스,간판 및 광고물 제조업,디자인,3,37.5088246,127.0377566
1357,(주)래몽래인,서울특별시 강남구 학동로25길 19 ,,래몽래인,정보통신업,교통/운송,9,37.5148266,127.0287883
1362,주식회사 모비데이즈,서울특별시 강남구 언주로 417 ,,식회사 모비데이즈,미디어/디자인,"미디어,콘텐츠 제작",2,37.5291899,127.0338897
1372,(주)더베이컨,서울특별시 강남구 논현로149길 ,02-6203-7435,더베이컨,동영상제작서비스,"미디어,콘텐츠 제작",2,37.5175856,127.0252887
1374,주식회사 캐스팅에너지,서울특별시 강남구 도산대로26길 29,02-6053-5773,식회사 캐스팅에너지,매니저업,마케팅 브랜딩 조사,4,37.5170359,127.0283895
1377,주식회사 씨제이더블유글로벌,서울특별시 강남구 선릉로134길 7,,식회사 씨제이더블글로벌,미디어/디자인,디자인,3,37.5189281,127.0414506
1381,(주)디플랜360,서울특별시 강남구 테헤란로 443 ,02-2039-1884,디플랜360,온라인홍보및방송콘텐츠서비스(정보통신업),sns,1,37.5070448,127.0555842
1383,주식회사 노무브노워크,서울특별시 강남구 선릉로121길 15,,식회사 노무브노워크,"전문, 과학 및 기술 서비스업",IT,5,37.5136791,127.041053
1387,주식회사 시몬스디자인스튜디오,서울특별시 강남구 학동로11길 56,,식회사 시몬스디자인스튜디오,광고/홍보/전시,sns,1,37.5138027,127.0252715
1388,주식회사 참컴,서울특별시 강남구 삼성로122길 37,02-2261-0656,식회사 참컴,광고·홍보·전시,sns,1,37.5179047,127.0545401
1391,주식회사 미디어블커뮤니케이션,서울특별시 강남구 영동대로 602,,식회사 미디어블커뮤니케이션,도매 및 소매업,교통/운송,9,37.5148923,127.060442
1392,주식회사 샐러드랩,서울특별시 강남구 테헤란로78길 14-11,,식회사 샐러드랩,데이터베이스 및 온라인정보 제공업,교통/운송,9,37.5052795,127.0556497
